gvkey,datadate,risq,piq,atq,ltq,teqq,iptiq,bctq
270979,2001-12-31,,,405.512,383.244,,,
270979,2002-12-31,,,377.392,308.439,,,
270979,2003-12-31,,,449.032,340.866,,,
270979,2004-03-31,16.5435,27.327,,,,25.0245,16.6785
270979,2004-06-30,16.5435,27.327,,,,25.0245,16.6785
270979,2004-09-30,23.846,25.126,572.615,427.981,,28.726,20.4575
270979,2004-12-31,23.846,25.126,568.709,452.03,,28.726,20.4575
270979,2004-12-31,,,,,,,
270979,2005-03-31,22.3845,27.7935,646.094,485.881,,31.9165,23.647
270979,2005-06-30,22.3845,27.7935,646.094,485.881,,31.9165,23.647
270979,2005-09-30,24.318,31.9535,663.583,482.171,,37.8105,26.616
270979,2005-12-31,24.318,31.9535,663.583,482.171,,37.8105,26.616
270979,2006-03-31,30.735,34.353,698.145,506.105,,37.4315,27.8
270979,2006-06-30,30.735,34.353,698.145,506.105,,37.4315,27.8
270979,2006-09-30,35.0755,39.318,753.005,533.95,,35.046,25.7725
270979,2006-12-31,35.0755,39.318,753.005,533.95,,35.046,25.7725
270979,2007-03-31,42.912,43.1265,819.103,599.516,,35.8235,27.0955
270979,2007-06-30,42.912,43.1265,819.103,599.516,,35.8235,27.0955
270979,2007-09-30,47.4655,47.9225,870.322,632.69,,35.2945,22.802
270979,2007-12-31,47.4655,47.9225,870.322,632.69,,35.2945,22.802
270979,2008-03-31,50.1,50.15,954.241,698.617,,38.5,26.2
270979,2008-06-30,50.123,50.1595,954.241,698.617,,38.497,26.2295
270979,2008-06-30,50.1,50.15,,,,38.5,26.2
270979,2008-09-30,70.95,51.1,1014.0,738.5,,46.4,31.1
270979,2008-09-30,,,,,,,
270979,2008-12-31,49.509,51.0995,1014.003,738.434,,46.421,31.0585
270979,2008-12-31,70.95,51.1,,,,46.4,31.1
270979,2009-03-31,56.5,52.65,1106.0,824.4,,50.25,35.1
270979,2009-06-30,56.5,52.65,1106.0,824.4,,50.25,35.1
